key,value,date
ARI,133.00,30/04/2014
ARI,111.00,01/05/2014
ARI,111.00,02/05/2014
ARI,111.00,03/05/2014
ARI,111.00,04/05/2014
ARI,111.00,05/05/2014
ARI,139.00,06/05/2014
ARI,157.00,07/05/2014
ARI,135.00,08/05/2014
ARI,115.00,09/05/2014
ARI,100.00,10/05/2014
ARI,100.00,11/05/2014
ARI,100.00,12/05/2014
ARI,113.00,13/05/2014
ARI,104.00,14/05/2014
ARI,105.00,15/05/2014
ARI,106.00,16/05/2014
ARI,108.00,17/05/2014
ARI,108.00,18/05/2014
ARI,108.00,19/05/2014
ARI,116.00,20/05/2014
ARI,92.00,21/05/2014
ARI,109.00,22/05/2014
ARI,123.00,23/05/2014
ARI,128.00,24/05/2014
ARI,128.00,25/05/2014
ARI,128.00,26/05/2014
ARI,131.00,27/05/2014
ARI,121.00,28/05/2014
ARI,132.00,29/05/2014
ARI,152.00,30/05/2014
ARI,129.00,31/05/2014
ARI,129.00,01/06/2014
ARI,129.00,02/06/2014
ARI,132.00,03/06/2014
ARI,121.00,04/06/2014
ARI,108.00,05/06/2014
ARI,105.00,06/06/2014
ARI,107.00,07/06/2014
ARI,107.00,08/06/2014
ARI,107.00,09/06/2014
ARI,111.00,10/06/2014
ARI,104.00,11/06/2014
ARI,102.00,12/06/2014
ARI,121.00,13/06/2014
ARI,127.00,14/06/2014
ARI,127.00,15/06/2014
ARI,127.00,16/06/2014
ARI,141.00,17/06/2014
ARI,126.00,18/06/2014
ARI,142.00,19/06/2014
ARI,157.00,20/06/2014
ARI,157.00,21/06/2014
ARI,157.00,22/06/2014
ARI,157.00,23/06/2014
ARI,167.00,24/06/2014
ARI,179.00,25/06/2014
ARI,167.00,26/06/2014
ARI,164.00,27/06/2014
ARI,134.00,28/06/2014
ARI,134.00,29/06/2014
ARI,134.00,30/06/2014
ARI,141.00,01/07/2014
ARI,129.00,02/07/2014
ARI,122.00,03/07/2014
ARI,129.00,04/07/2014
ARI,132.00,05/07/2014
ARI,132.00,06/07/2014
ARI,132.00,07/07/2014
ARI,127.00,08/07/2014
ARI,140.00,09/07/2014
ARI,140.00,10/07/2014
ARI,133.00,11/07/2014
ARI,121.00,12/07/2014
ARI,121.00,13/07/2014
ARI,121.00,14/07/2014
ARI,109.00,15/07/2014
ARI,105.00,16/07/2014
ARI,117.00,17/07/2014
ARI,130.00,18/07/2014
ARI,150.00,19/07/2014
ARI,150.00,20/07/2014
ARI,150.00,21/07/2014
ARI,156.00,22/07/2014
ARI,157.00,23/07/2014
ARI,145.00,24/07/2014
ARI,136.00,25/07/2014
ARI,118.00,26/07/2014
ARI,118.00,27/07/2014
ARI,118.00,28/07/2014
ARI,117.00,29/07/2014
ARI,117.00,30/07/2014
ARI,88.00,31/07/2014
ARI,102.00,01/08/2014
ARI,113.00,02/08/2014
ARI,113.00,03/08/2014
ARI,113.00,04/08/2014
ARI,134.00,05/08/2014
ARI,144.00,06/08/2014
ARI,127.00,07/08/2014
ARI,133.00,08/08/2014
ARI,149.00,09/08/2014
ARI,149.00,10/08/2014
ARI,149.00,11/08/2014
ARI,156.00,12/08/2014
ARI,128.00,13/08/2014
ARI,132.00,14/08/2014
ARI,148.00,15/08/2014
ARI,157.00,16/08/2014
ARI,157.00,17/08/2014
ARI,157.00,18/08/2014
ARI,157.00,19/08/2014
ARI,156.00,20/08/2014
ARI,124.00,21/08/2014
ARI,89.00,22/08/2014
ARI,94.00,23/08/2014
ARI,94.00,24/08/2014
ARI,94.00,25/08/2014
ARI,113.00,26/08/2014
ARI,130.00,27/08/2014
ARI,156.00,28/08/2014
ARI,156.00,29/08/2014
ARI,172.00,30/08/2014
ARI,172.00,31/08/2014
ARI,172.00,01/09/2014
ARI,190.00,02/09/2014
ARI,168.00,03/09/2014
ARI,159.00,04/09/2014
ARI,148.00,05/09/2014
ARI,112.00,06/09/2014
ARI,112.00,07/09/2014
ARI,112.00,08/09/2014
ARI,105.00,09/09/2014
ARI,107.00,10/09/2014
ARI,114.00,11/09/2014
ARI,139.00,12/09/2014
ARI,163.00,13/09/2014
ARI,163.00,14/09/2014
ARI,163.00,15/09/2014
ARI,172.00,16/09/2014
ARI,156.00,17/09/2014
ARI,129.00,18/09/2014
ARI,126.00,19/09/2014
ARI,149.00,20/09/2014
ARI,149.00,21/09/2014
ARI,149.00,22/09/2014
ARI,152.00,23/09/2014
ARI,130.00,24/09/2014
ARI,123.00,25/09/2014
ARI,126.00,26/09/2014
ARI,131.00,27/09/2014
ARI,131.00,28/09/2014
ARI,131.00,29/09/2014
ARI,134.00,30/09/2014
ARI,106.00,01/10/2014
ARI,106.00,02/10/2014
ARI,101.00,03/10/2014
ARI,104.00,04/10/2014
ARI,104.00,05/10/2014
ARI,104.00,06/10/2014
ARI,121.00,07/10/2014
ARI,109.00,08/10/2014
ARI,88.00,09/10/2014
ARI,89.00,10/10/2014
ARI,104.00,11/10/2014
ARI,104.00,12/10/2014
ARI,104.00,13/10/2014
ARI,104.00,14/10/2014
ARI,99.00,15/10/2014
ARI,113.00,16/10/2014
ARI,117.00,17/10/2014
ARI,112.00,18/10/2014
ARI,112.00,19/10/2014
ARI,112.00,20/10/2014
ARI,100.00,21/10/2014
ARI,99.00,22/10/2014
ARI,96.00,23/10/2014
ARI,92.00,24/10/2014
ARI,107.00,25/10/2014
ARI,107.00,26/10/2014
ARI,107.00,27/10/2014
ARI,129.00,28/10/2014
ARI,125.00,29/10/2014
ARI,141.00,30/10/2014
ARI,160.00,31/10/2014
ARI,144.00,01/11/2014
ARI,144.00,02/11/2014
ARI,144.00,03/11/2014
ARI,113.00,04/11/2014
ARI,123.00,05/11/2014
ARI,127.00,06/11/2014
ARI,101.00,07/11/2014
ARI,103.00,08/11/2014
ARI,103.00,09/11/2014
ARI,103.00,10/11/2014
ARI,110.00,11/11/2014
ARI,133.00,12/11/2014
ARI,148.00,13/11/2014
ARI,140.00,14/11/2014
ARI,107.00,15/11/2014
ARI,107.00,16/11/2014
ARI,107.00,17/11/2014
ARI,108.00,18/11/2014
ARI,85.00,19/11/2014
ARI,81.00,20/11/2014
ARI,114.00,21/11/2014
ARI,135.00,22/11/2014
ARI,135.00,23/11/2014
ARI,135.00,24/11/2014
ARI,135.00,25/11/2014
ARI,115.00,26/11/2014
ARI,93.00,27/11/2014
ARI,112.00,28/11/2014
ARI,106.00,29/11/2014
ARI,106.00,30/11/2014
ARI,106.00,01/12/2014
ARI,117.00,02/12/2014
ARI,110.00,03/12/2014
ARI,107.00,04/12/2014
ARI,112.00,05/12/2014
ARI,131.00,06/12/2014
ARI,131.00,07/12/2014
ARI,131.00,08/12/2014
ARI,131.00,09/12/2014
ARI,148.00,10/12/2014
ARI,169.00,11/12/2014
ARI,174.00,12/12/2014
ARI,134.00,13/12/2014
ARI,134.00,14/12/2014
ARI,134.00,15/12/2014
ARI,104.00,16/12/2014
ARI,116.00,17/12/2014
ARI,90.00,18/12/2014
ARI,83.00,19/12/2014
ARI,80.00,20/12/2014
ARI,80.00,21/12/2014
ARI,80.00,22/12/2014
ARI,90.00,23/12/2014
ARI,51.00,24/12/2014
